Poll,Date,Sample,Approve,Disapprove,Spread,Year
Harvard-Harris,2/26 - 2/28,2592 RV,47,53,-6,2020
FOX News,2/23 - 2/26,1000 RV,47,52,-5,2020
Economist/YouGov,2/23 - 2/25,1184 RV,44,53,-9,2020
IBD/TIPP,2/20 - 2/29,901 A,41,54,-13,2020
Rasmussen Reports,2/24 - 2/26,1500 LV,52,47,5,2020
Gallup,2/17 - 2/28,1020 A,47,51,-4,2020
Reuters/Ipsos,2/19 - 2/25,3809 RV,43,55,-12,2020
Politico/Morning Consult,2/21 - 2/23,1992 RV,45,52,-7,2020
Reuters/Ipsos,2/18 - 2/19,951 RV,43,55,-12,2020
Emerson,2/16 - 2/18,1250 RV,48,44,4,2020
Economist/YouGov,2/16 - 2/18,1150 RV,43,54,-11,2020
Politico/Morning Consult,2/15 - 2/17,1990 RV,42,54,-12,2020
Rasmussen Reports,2/17 - 2/19,1500 LV,49,50,-1,2020
ABC News/Wash Post,2/14 - 2/17,913 RV,46,52,-6,2020
NBC News/Wall St. Jrnl,2/14 - 2/17,900 RV,47,50,-3,2020
The Hill/HarrisX,2/14 - 2/15,1001 RV,49,51,-2,2020
NPR/PBS/Marist,2/13 - 2/16,1164 RV,44,51,-7,2020
Reuters/Ipsos,2/10 - 2/11,959 RV,44,55,-11,2020
Rasmussen Reports,2/10 - 2/12,1500 LV,50,49,1,2020
Economist/YouGov,2/9 - 2/11,1140 RV,45,52,-7,2020
Gallup,2/3 - 2/16,1028 A,49,48,1,2020
Politico/Morning Consult,2/7 - 1/9,1996 RV,43,54,-11,2020
Monmouth,2/6 - 2/9,827 RV,44,51,-7,2020
Quinnipiac,2/5 - 2/9,1519 RV,43,53,-10,2020
The Hill/HarrisX,2/6 - 2/7,1000 RV,49,51,-2,2020
Reuters/Ipsos,2/3 - 2/4,932 RV,42,55,-13,2020
Economist/YouGov,2/2 - 2/4,1277 RV,44,54,-10,2020
Harvard-Harris,1/27 - 1/29,2527 RV,46,54,-8,2020
NBC News/Wall St. Jrnl,1/26 - 1/29,1000 RV,46,51,-5,2020
CBS News,1/26 - 1/29,1202 A,43,51,-8,2020
