ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume,,
Harris,1/2/2020,0.01,0.01,0.01,0.01,0,,
Warren,1/2/2020,0.06,0.07,0.06,0.06,9840,,
Booker,1/2/2020,0.01,0.01,0.01,0.01,0,,
Kasich,1/2/2020,0.01,0.01,0.01,0.01,0,,
Biden,1/2/2020,0.23,0.23,0.21,0.21,12242,,
Sanders,1/2/2020,0.18,0.2,0.17,0.18,24962,,
Pence,1/2/2020,0.01,0.02,0.01,0.01,2372,,
Trump,1/2/2020,0.48,0.48,0.47,0.47,16086,,
Gillibrand,1/2/2020,0.01,0.01,0.01,0.01,0,,
Cuomo,1/2/2020,0.01,0.01,0.01,0.01,0,,
Cuban,1/2/2020,0.01,0.01,0.01,0.01,0,,
Zuckerberg,1/2/2020,0.01,0.01,0.01,0.01,0,,
Klobuchar,1/2/2020,0.03,0.03,0.02,0.02,13750,,
Haley,1/2/2020,0.01,0.01,0.01,0.01,0,,
Ryan,1/2/2020,0.01,0.01,0.01,0.01,0,,
O'Rourke,1/2/2020,0.01,0.01,0.01,0.01,0,,
Brown,1/2/2020,0.01,0.01,0.01,0.01,0,,
Bloomberg,1/2/2020,0.04,0.06,0.04,0.04,6060,,
Yang,1/2/2020,0.06,0.07,0.06,0.06,4442,,
Buttigieg,1/2/2020,0.06,0.07,0.06,0.06,38901,,
Gabbard,1/2/2020,0.01,0.01,0.01,0.01,6,,
Clinton,1/2/2020,0.02,0.03,0.02,0.02,49480,,
Harris,1/3/2020,0.01,0.01,0.01,0.01,0,,
Warren,1/3/2020,0.06,0.07,0.05,0.05,17370,,
Booker,1/3/2020,0.01,0.01,0.01,0.01,0,,
Kasich,1/3/2020,0.01,0.01,0.01,0.01,0,,
Biden,1/3/2020,0.21,0.22,0.21,0.21,17528,,
Sanders,1/3/2020,0.18,0.19,0.18,0.18,19235,,
Pence,1/3/2020,0.01,0.02,0.01,0.01,5116,,
Trump,1/3/2020,0.47,0.49,0.47,0.48,18363,,
Gillibrand,1/3/2020,0.01,0.01,0.01,0.01,0,,
Cuomo,1/3/2020,0.01,0.01,0.01,0.01,0,,
Cuban,1/3/2020,0.01,0.01,0.01,0.01,0,,
Zuckerberg,1/3/2020,0.01,0.01,0.01,0.01,0,,
Klobuchar,1/3/2020,0.02,0.03,0.02,0.02,9761,,
Haley,1/3/2020,0.01,0.01,0.01,0.01,175,,
Ryan,1/3/2020,0.01,0.01,0.01,0.01,0,,
O'Rourke,1/3/2020,0.01,0.01,0.01,0.01,0,,
Brown,1/3/2020,0.01,0.01,0.01,0.01,0,,
Bloomberg,1/3/2020,0.04,0.06,0.04,0.05,14039,,
Yang,1/3/2020,0.06,0.07,0.06,0.06,6713,,
Buttigieg,1/3/2020,0.06,0.07,0.06,0.06,7121,,
Gabbard,1/3/2020,0.01,0.01,0.01,0.01,7111,,
Clinton,1/3/2020,0.02,0.03,0.02,0.02,7964,,
Harris,1/4/2020,0.01,0.01,0.01,0.01,0,,
Warren,1/4/2020,0.05,0.06,0.05,0.06,3506,,
Booker,1/4/2020,0.01,0.01,0.01,0.01,0,,
Kasich,1/4/2020,0.01,0.01,0.01,0.01,0,,
Biden,1/4/2020,0.21,0.23,0.21,0.22,11418,,
Sanders,1/4/2020,0.18,0.19,0.17,0.18,13503,,
Pence,1/4/2020,0.01,0.02,0.01,0.01,44545,,
Trump,1/4/2020,0.48,0.49,0.48,0.48,17287,,
Gillibrand,1/4/2020,0.01,0.01,0.01,0.01,0,,
Cuomo,1/4/2020,0.01,0.01,0.01,0.01,0,,
Cuban,1/4/2020,0.01,0.01,0.01,0.01,0,,
Zuckerberg,1/4/2020,0.01,0.01,0.01,0.01,0,,
Klobuchar,1/4/2020,0.02,0.03,0.02,0.02,6430,,
Haley,1/4/2020,0.01,0.01,0.01,0.01,0,,
Ryan,1/4/2020,0.01,0.01,0.01,0.01,0,,
O'Rourke,1/4/2020,0.01,0.01,0.01,0.01,0,,
Brown,1/4/2020,0.01,0.01,0.01,0.01,0,,
Bloomberg,1/4/2020,0.05,0.06,0.05,0.05,17558,,
Yang,1/4/2020,0.06,0.07,0.05,0.05,26656,,
Buttigieg,1/4/2020,0.06,0.07,0.06,0.06,6759,,
Gabbard,1/4/2020,0.01,0.01,0.01,0.01,1000,,
Clinton,1/4/2020,0.02,0.02,0.01,0.02,14488,,
Harris,1/5/2020,0.01,0.01,0.01,0.01,0,,
Warren,1/5/2020,0.06,0.06,0.05,0.05,6410,,
Booker,1/5/2020,0.01,0.01,0.01,0.01,0,,
Kasich,1/5/2020,0.01,0.01,0.01,0.01,0,,
Biden,1/5/2020,0.22,0.23,0.22,0.22,4330,,
Sanders,1/5/2020,0.18,0.19,0.17,0.18,13596,,
Pence,1/5/2020,0.01,0.02,0.01,0.02,9707,,
Trump,1/5/2020,0.48,0.49,0.48,0.48,11086,,
Gillibrand,1/5/2020,0.01,0.01,0.01,0.01,0,,
Cuomo,1/5/2020,0.01,0.01,0.01,0.01,0,,
Cuban,1/5/2020,0.01,0.01,0.01,0.01,0,,
Zuckerberg,1/5/2020,0.01,0.01,0.01,0.01,0,,
Klobuchar,1/5/2020,0.02,0.03,0.02,0.02,22620,,
Haley,1/5/2020,0.01,0.01,0.01,0.01,0,,
Ryan,1/5/2020,0.01,0.01,0.01,0.01,0,,
O'Rourke,1/5/2020,0.01,0.01,0.01,0.01,0,,
Brown,1/5/2020,0.01,0.01,0.01,0.01,0,,
Bloomberg,1/5/2020,0.05,0.06,0.05,0.05,3047,,
